gank | 갱 | Tactic | Ambushing an enemy player with multiple teammates |
team fight | 한타 | Game Event | A fight involving multiple players from each team | Commonly used in League of Legends |
push | 푸시 | Tactic | Forcing a lane to destroy enemy structures |
support | 서포터 | Role | A player who assists teammates rather than dealing damage |
ADC | 원딜 | Role | Attack Damage Carry, primary damage dealer in late game |
Mid | 미드 | Role | Playing mid lane to stack up gold | LoL role | 
Jungle | 정글 | Playing in jungles to stack up side objective gold | LoL role |
Top | 탑 | Playing solo top lane, assisting jungle with objectives | LoL role |
dragon | 드래곤 | Objective | Neutral monster that provides team buffs when killed |
Blood | 피 | Health | Refers to HP |
Low health | 빨피 | Health | Means you're dangerously low on HP |
Mana | 마나 | Utility | Utility required to cast spells in game | Mana regenerates the more you level up |
Out of Mana (OOM) | 마나 없 | Utility |  Call when need assist or recalling |
AOE | 광 | Attack | Ulimate when it hits certain radius |
Damage Over Time attacks | 도트 | Attack/Defense | ADC Stats |
Heal Over Time effects | 도트 힐 | Attack/Defense | Support Stats |
Damage, attack power | 뎀/대미지 | Attack Defense | Bot lane stats |
Maximum damage | 맥뎀 | Damage Done/Dealt | Max Damage done by ability |
Minimum damage| 민뎀 | Damage Done/Dealt | Min Damage done by ability |
Tanking | 탱 | Champion ability | Damage dealt by champion |
DPS | 딜 | Damage dealt/done | Damage dealt/done by champion |
Heals | 힐 | Ability | Support gives healing/ healing potion |
Tank character | 탱/탱커 | Heavy damage dealing champion | Usually ADC/Jungle roles |
DPS character | 딜/딜러 | Heavy damage dealing champions | Usually ADC/Jungle roles |
Healer character | 힐/힐러 | Support abilities | Usually Support roles/Potions |
Main tank | 맨탱 | Character Ability | Role specific |
Sub tank | 부탱 | Character Ability | Role specific |
Inventory | 인벤 | Game Feature | Recall to buy items |
Gear | 장비 | Game Feature | Armory/ Shields/Items |
Items | 템 | Game Feature | Armory/ Shields/Items |
Knife/Swords | 칼 | Character Ability | Role specific |
Ring | 반지 | Character Ability | Role specific |
Whisper/Tell | 귓/귓속말 | in-game communication | Communicate with player in game/lobby |
Materials | 재료 | Game feature | Required to build up main items |
Real Money | 현질 | Game feature | Buy Champ/Gun skins/Sprays in game |
QQ/crybaby complaining | 징징 | In game Communication | Used when someone complains in game |
Level up | 렙업 | Champion/Agent ability | Leveling up gives you more power/abilities |
So close | ㄲㅂ | In game communication | Used to say "So close"/까비 |
Shaking | ㄷㄷㄷ | In game communication | Used to say "tense moment" |
Run away | ㅌㅌㅌ | In game communication | Used to say "Run away" from a fight |
Noob | ㅊㅂ |  In game communication | Mental strategy to break opponent |
no comment | ㄴㄷ | In game communication | Hopeless/no comment |
